행정구역,2022년07월_남자 평균연령,2022년07월_여자 평균연령,2022년07월_평균연령,농가(가구),농가인구,농가인구(남),농가인구(여)
서울특별시 ,43,44.6,43.8,7031,15767,8171,7597
부산광역시 ,44.6,47.1,45.9,11137,25044,12646,12399
대구광역시,43,45.8,44.4,23893,54006,27920,26085
인천광역시,42.2,44.1,43.1,12647,28128,13848,14280
광주광역시,41,43.4,42.2,14708,35403,17558,17845
대전광역시,41.7,43.8,42.7,12241,29025,14843,14183
울산광역시,41.8,43.7,42.7,13408,30584,15029,15556
세종특별자치시 ,37.4,38.5,38,6573,15348,8036,7312
경기도 ,41.3,43.1,42.2,114901,280300,140849,139451
강원도,45.3,48.3,46.8,68300,150005,75051,74955
충청북도  ,43.7,46.4,45,70177,151793,76619,75174
충청남도,43.8,46.5,45.1,120324,252078,124255,127824
전라북도,45,48.1,46.6,90862,188689,92814,95875
전라남도,46,49.6,47.8,146024,290551,139677,150875
경상북도,45.5,49,47.3,169774,348303,173882,174421
경상남도,43.5,46.4,45,117660,244924,120397,124526
제주특별자치도,42,44.4,43.2,31549,75548,38434,37114
